annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2020622;06/11/2020;soir;06/01/2021;9;12;13;17;27;35;36;38;39;44;50;51;52;55;59;62;66;67;68;69;3;7 201 005;eur;
2020621;06/11/2020;midi;06/01/2021;4;6;14;17;20;21;23;28;30;36;40;44;51;52;58;60;63;66;67;68;2;4 297 821;eur;
2020620;05/11/2020;soir;05/01/2021;4;5;11;13;16;20;27;28;29;31;39;45;46;47;48;51;58;60;62;65;3;8 222 012;eur;
2020619;05/11/2020;midi;05/01/2021;4;5;6;20;24;28;31;34;41;42;45;47;48;49;53;59;61;65;66;70;2;2 131 811;eur;
2020618;04/11/2020;soir;04/01/2021;2;5;18;20;21;22;23;28;34;37;39;49;54;56;59;60;63;65;68;69;2;9 026 324;eur;
2020617;04/11/2020;midi;04/01/2021;4;13;14;16;17;21;22;25;26;31;35;37;45;48;50;51;57;61;62;68;2;3 565 441;eur;
2020616;03/11/2020;soir;03/01/2021;5;7;14;17;22;23;27;28;32;35;36;39;40;41;45;55;59;60;62;66;2;6 038 307;eur;
2020615;03/11/2020;midi;03/01/2021;9;14;15;19;20;26;28;29;30;34;37;41;46;47;54;55;58;63;65;67;3;7 010 288;eur;
2020614;02/11/2020;soir;02/01/2021;7;13;15;16;17;19;20;21;25;31;32;44;46;49;51;52;60;63;67;70;2;0 218 295;eur;
2020613;02/11/2020;midi;02/01/2021;14;20;26;28;29;30;31;35;41;43;47;48;49;52;54;55;59;64;67;68;2;2 330 743;eur;
2020612;01/11/2020;soir;01/01/2021;2;6;17;23;24;26;28;32;33;34;44;45;47;50;52;53;55;64;67;70;3;3 869 187;eur;
2020611;01/11/2020;midi;01/01/2021;3;5;7;9;10;11;13;15;27;30;37;46;47;48;52;53;54;55;62;68;5;7 788 862;eur;
2020610;31/10/2020;soir;31/12/2020;5;10;12;15;19;23;28;30;36;41;43;48;52;55;60;61;63;65;69;70;2;9 673 357;eur;
2020609;31/10/2020;midi;31/12/2020;3;8;13;14;15;18;19;22;25;26;32;39;41;50;51;52;53;59;63;66;2;1 563 577;eur;
2020608;30/10/2020;soir;30/12/2020;1;2;8;16;17;22;25;29;34;39;43;44;54;55;58;59;62;66;68;70;2;5 348 068;eur;
2020607;30/10/2020;midi;30/12/2020;6;7;10;13;17;20;25;27;28;32;33;40;55;56;59;60;62;63;67;70;3;3 582 540;eur;
2020606;29/10/2020;soir;29/12/2020;7;10;20;23;24;29;30;38;39;40;44;45;46;48;49;54;61;64;66;70;2;6 164 622;eur;
2020605;29/10/2020;midi;29/12/2020;9;15;16;20;27;32;39;42;43;45;49;50;51;52;54;57;58;62;64;66;3;2 161 733;eur;
2020604;28/10/2020;soir;28/12/2020;1;3;11;13;15;16;17;23;24;26;35;41;43;45;48;50;63;65;67;70;2;0 257 275;eur;
2020603;28/10/2020;midi;28/12/2020;1;2;3;4;5;11;12;18;21;28;32;37;38;42;43;51;52;57;64;68;2;8 569 427;eur;
2020602;27/10/2020;soir;27/12/2020;6;10;14;16;18;23;24;25;27;28;35;39;44;46;47;51;56;63;67;69;5;2 852 829;eur;
2020601;27/10/2020;midi;27/12/2020;2;4;5;8;9;11;13;14;16;20;31;32;35;37;43;44;46;56;61;66;3;2 404 798;eur;
2020600;26/10/2020;soir;26/12/2020;3;6;13;21;26;28;32;33;38;40;43;49;54;55;57;61;62;65;67;70;2;8 362 629;eur;
2020599;26/10/2020;midi;26/12/2020;3;6;11;15;16;17;20;26;29;43;44;45;46;47;51;55;56;60;61;62;2;2 839 262;eur;
2020598;25/10/2020;soir;25/12/2020;1;12;14;15;16;19;20;21;22;26;42;45;50;52;57;58;64;65;69;70;2;6 199 896;eur;
2020597;25/10/2020;midi;25/12/2020;3;5;6;8;11;12;14;20;23;26;29;31;33;38;40;55;58;67;69;70;3;7 005 386;eur;
2020596;24/10/2020;soir;24/12/2020;2;5;6;11;16;21;24;25;26;37;40;44;46;50;51;52;54;61;62;69;2;6 864 474;eur;
2020595;24/10/2020;midi;24/12/2020;4;6;7;8;16;18;22;23;29;34;40;46;47;49;51;53;55;56;58;61;2;7 698 183;eur;
2020594;23/10/2020;soir;23/12/2020;1;9;18;20;22;25;35;36;39;40;41;42;45;46;48;54;56;62;63;67;5;8 023 060;eur;
2020593;23/10/2020;midi;23/12/2020;3;4;6;7;12;14;17;19;20;23;28;29;30;32;40;47;54;55;57;68;3;8 913 178;eur;
2020592;22/10/2020;soir;22/12/2020;3;5;8;10;11;12;13;15;19;20;23;24;30;39;43;44;45;47;54;68;5;2 878 061;eur;
2020591;22/10/2020;midi;22/12/2020;1;4;7;8;11;12;16;17;21;24;26;30;36;38;50;60;62;64;66;70;2;6 075 159;eur;
2020590;21/10/2020;soir;21/12/2020;1;3;8;10;15;16;18;21;22;23;25;28;30;38;39;43;53;55;61;70;2;9 623 973;eur;
2020589;21/10/2020;midi;21/12/2020;2;4;7;8;14;16;18;23;31;38;40;42;44;46;47;49;52;57;63;68;2;0 062 640;eur;
2020588;20/10/2020;soir;20/12/2020;1;2;4;5;11;12;16;19;21;22;23;26;32;43;49;53;58;61;66;69;3;6 116 370;eur;
2020587;20/10/2020;midi;20/12/2020;5;16;17;18;22;27;30;31;32;35;37;42;43;45;49;50;52;53;61;69;2;2 190 590;eur;
2020586;19/10/2020;soir;19/12/2020;5;8;10;15;16;25;28;29;31;32;37;41;42;47;57;60;62;65;66;70;2;7 825 493;eur;
2020585;19/10/2020;midi;19/12/2020;2;7;12;17;19;21;25;29;36;37;39;42;47;53;58;61;62;63;66;69;2;5 763 952;eur;
